f [Hz],h²Ω (SKA5),h²Ω (SKA10),h²Ω (SKA20),h²Ω (EPTA),h²Ω (1OGrav),h²Ω (LISA),h²Ω (BDECIGO),h²Ω (DECIGO),h²Ω (BBO),h²Ω (ET)
0.229086765276777,1,1,1,1,1,8.07377952323854E-05,1.02718997630226E-10,2.5418595729705E-13,2.38571007652267E-14,1
0.251188643150958,1,1,1,1,1,0.000127668924701,9.9862654775399E-11,3.13028656253982E-13,2.64341507538227E-14,1
0.275422870333816,1,1,1,1,1,0.000200524803941,9.92252705038004E-11,3.92575560170364E-13,3.03365144687374E-14,1
0.301995172040202,1,1,1,1,1,0.000320928594824,1.01237945182122E-10,4.9926243650325E-13,3.59788672551421E-14,1
0.331131121482591,1,1,1,1,1,0.000501973192343,1.06493263060332E-10,6.41598671257845E-13,4.3930319550346E-14,1
0.363078054770102,1,1,1,1,1,0.000804327959299,1.15794594345438E-10,8.30831921723815E-13,5.49743621342239E-14,1
0.398107170553497,1,1,1,1,1,0.00126149451905,1.30221298558189E-10,1.08182794561259E-12,7.01944095421541E-14,1
0.436515832240167,1,1,1,1,1,0.002003597006185,1.51214886868986E-10,1.41423614203866E-12,9.10968839023567E-14,1
0.478630092322638,1,1,1,1,1,0.003196915570529,1.80692820103925E-10,1.85403499650002E-12,1.19789803707617E-13,1
0.524807460249773,1,1,1,1,1,0.005034294520533,2.21198757853976E-10,2.4355835137718E-12,1.59244080125418E-13,1
0.575439937337157,1,1,1,1,1,0.007934826462432,2.76100900735565E-10,3.20434788335768E-12,2.13678960775097E-13,1
0.630957344480194,1,1,1,1,1,0.01255873004938,3.49853805551981E-10,4.22053129294024E-12,2.89135092885978E-13,1
0.691830970918936,1,1,1,1,1,0.019901422082669,4.48343998646485E-10,5.56391495988133E-12,3.94332893929813E-13,1
0.758577575029185,1,1,1,1,1,0.031611358763678,5.79346261287667E-10,7.34032857105473E-12,5.41967221187901E-13,1
0.831763771102671,1,1,1,1,1,0.050485691884413,7.53126139707013E-10,9.69032055014398E-12,7.50672591656147E-13,1
0.912010839355911,1,1,1,1,1,0.079781799109193,9.83235746402481E-10,1.28008104409912E-11,1.04802355327925E-12,1
1,1,1,1,1,1,0.125901873611498,1.28756521367986E-09,1.69208027332332E-11,1.47513927823124E-12,765.678998115003
1.09647819614319,1,1,1,1,1,1,1.68973250612243E-09,2.23826611433215E-11,2.09378271634976E-12,449.338192517444
1.20226443461741,1,1,1,1,1,1,2.22092141094694E-09,2.96310401782792E-11,2.99735013642848E-12,3.12513192921115
1.31825673855641,1,1,1,1,1,1,2.92231372799076E-09,3.92624295039052E-11,4.32794317245483E-12,0.289743191486587
1.44543977074593,1,1,1,1,1,1,3.84831013766788E-09,5.20795105465412E-11,6.30297112188694E-12,0.00161894157365
1.58489319246112,1,1,1,1,1,1,5.07079926367896E-09,6.91663419405316E-11,9.25671284091795E-12,5.69814845258602E-06
1.73780082874938,1,1,1,1,1,1,6.68482202347593E-09,9.19930670972215E-11,1.37053970744248E-11,1.81879710521847E-07
1.90546071796324,1,1,1,1,1,1,8.81609672182161E-09,1.22562811294157E-10,2.04493053002527E-11,7.59952001291526E-08
2.08929613085404,1,1,1,1,1,1,1.16310309937701E-08,1.63619380814229E-10,3.07332195092064E-11,4.695434301039E-08
2.29086765276777,1,1,1,1,1,1,1.5350065803344E-08,2.18943333152198E-10,4.64989030854941E-11,2.97724257805068E-08
2.51188643150958,1,1,1,1,1,1,2.0265497136721E-08,2.93777568193193E-10,7.07828677282911E-11,1.90619202452616E-08
2.75422870333816,1,1,1,1,1,1,2.6765335464775E-08,3.95444304864379E-10,1.08343643133114E-10,1.23239143899145E-08
3.01995172040202,1,1,1,1,1,1,3.53653385272584E-08,5.3424707084597E-10,1.66651782031244E-10,8.05614941226032E-09
3.31131121482591,1,1,1,1,1,1,4.67521578085794E-08,7.24800266998813E-10,2.5745344113089E-10,5.33176726066135E-09
3.63078054770102,1,1,1,1,1,1,6.18416732387743E-08,9.88004568621055E-10,3.99241277318174E-10,3.57614666879914E-09
3.98107170553497,1,1,1,1,1,1,8.18582017978568E-08,1.35400395765148E-09,6.21161046179824E-10,2.43196594717969E-09
4.36515832240167,1,1,1,1,1,1,1.08442573492445E-07,1.86664323230294E-09,9.69190609360738E-10,1.6766619536563E-09
4.78630092322638,1,1,1,1,1,1,1.43800401877716E-07,2.59023070990599E-09,1.51591647816765E-09,1.17154216287642E-09
5.24807460249773,1,1,1,1,1,1,1.90906732882736E-07,3.61985830957615E-09,2.376006809292E-09,8.30435584505199E-10
5.75439937337157,1,1,1,1,1,1,2.53790389996127E-07,5.09723301061394E-09,3.730705736549E-09,6.0116519225587E-10
6.30957344480194,1,1,1,1,1,1,3.37931898964641E-07,7.23507624108355E-09,5.8666164182797E-09,4.56509902029986E-10
6.91830970918936,1,1,1,1,1,1,4.50824641550048E-07,1.03548823562961E-08,9.23711812620748E-09,3.93430255672468E-10
7.58577575029185,1,1,1,1,1,1,6.02772586479531E-07,1.49455596148548E-08,1.45596399918375E-08,4.1030431734145E-10
8.31763771102671,1,1,1,1,1,1,8.08033805619405E-07,2.17547850811909E-08,2.29697427904835E-08,4.91657855250396E-10
9.12010839355912,1,1,1,1,1,1,1.08647357668205E-06,3.19317032401779E-08,3.62652077999582E-08,6.32786153205458E-10
